"codigo_modelo;""codigo_marca"";""codigo_fipe"";""modelo"";""tipo""",
"1;""1"";""038003-2"";""Integra GS 1.8"";""1""",
"2;""1"";""038002-4"";""Legend 3.2/3.5"";""1""",
"3;""1"";""038001-6"";""NSX 3.0"";""1""",
"4;""2"";""060001-6"";""MARRUÁ 2.8 12V 132cv TDI Diesel"";""1""",
"5;""3"";""006009-7"";""145 Elegant 1.7/1.8 16V"";""1""",
"6;""3"";""006001-1"";""145 Elegant 2.0 16V"";""1""",
"7;""3"";""006002-0"";""145 Quadrifoglio 2.0"";""1""",
"8;""3"";""006008-9"";""145 QV"";""1""",
"9;""3"";""006017-8"";""147 2.0 16V 148cv 4p Semi-Aut."";""1""",
"10;""3"";""006003-8"";""155"";""1""",
"11;""3"";""006004-6"";""155 Super"";""1""",
"12;""3"";""006015-1"";""156 2.5 V6 24V 190cv 4p Aut."";""1""",
"13;""3"";""006014-3"";""156 Sport Wagon 2.0 16V"";""1""",
"14;""3"";""006016-0"";""156 Sport Wagon 2.5 V6 24V 4p Aut."";""1""",
"15;""3"";""006010-0"";""156 TS/Sport/Elegant 2.0 16V"";""1""",
"16;""3"";""006005-4"";""164 3.0 V6"";""1""",
"17;""3"";""006006-2"";""164 Super V6 24V"";""1""",
"18;""3"";""006011-9"";""166 3.0 V6 24V"";""1""",
"19;""3"";""006013-5"";""2300 TI/TI-4"";""1""",
"20;""3"";""006007-0"";""Spider 2.0/3.0"";""1""",
"21;""4"";""037001-0"";""Hummer Hard-Top 6.5 4x4 Diesel TB"";""1""",
"22;""4"";""037002-9"";""Hummer Open-Top 6.5 4x4 Diesel TB"";""1""",
"23;""4"";""037003-7"";""Hummer Wagon 6.5 4x4 Diesel TB"";""1""",
"24;""5"";""007018-1"";""AM-825 Luxo 4.0 Diesel"";""1""",
"25;""5"";""007019-0"";""AM-825 Super Luxo 4.0 Diesel"";""1""",
"26;""5"";""007001-7"";""Hi-Topic SLX/SDX/DLX Full Diesel"";""1""",
"27;""5"";""007002-5"";""Hi-Topic STD Diesel"";""1""",
"28;""5"";""007017-3"";""Hi-Topic Van 2.7 Diesel (furgão)"";""1""",
"29;""5"";""007020-3"";""Jipe Rocsta GT 4x4 2.2 Diesel"";""1""",
"30;""5"";""007016-5"";""Topic Carga 2.7 Diesel (furgão)"";""1""",
"31;""5"";""007014-9"";""Topic Luxo Diesel"";""1""",
"32;""5"";""007015-7"";""Topic Super Luxo Diesel"";""1""",
"33;""5"";""007003-3"";""Towner Coach Full"";""1""",
"34;""5"";""007009-2"";""Towner Furgão"";""1""",
"35;""5"";""007004-1"";""Towner Glass Van"";""1""",
"36;""5"";""007012-2"";""Towner Luxo"";""1""",
"37;""5"";""007011-4"";""Towner Multiuso 5p"";""1""",
"38;""5"";""007005-0"";""Towner Panel Van"";""1""",
"39;""5"";""007008-4"";""Towner Pick-Up"";""1""",
"40;""5"";""007006-8"";""Towner SDX / DLX/ STD"";""1""",
"41;""5"";""007013-0"";""Towner Super Luxo"";""1""",
"42;""5"";""007007-6"";""Towner Truck"";""1""",
"43;""6"";""008030-6"";""100 2.8 V6"";""1""",
"44;""6"";""008076-4"";""100 2.8 V6 Avant"";""1""",
"45;""6"";""008031-4"";""100 S-4 2.2 Avant Turbo"";""1""",
"46;""6"";""008001-2"";""80 2.0"";""1""",
"47;""6"";""008077-2"";""80 2.0 Avant"";""1""",
"48;""6"";""008080-2"";""80 2.6/ 2.8"";""1""",
"49;""6"";""008002-0"";""80 2.6/2.8 Avant"";""1""",
"50;""6"";""008003-9"";""80 2.8 Cabriolet"";""1""",
"51;""6"";""008004-7"";""80 S2 Avant"";""1""",
"52;""6"";""008032-2"";""A3 1.6 3p"";""1""",
"53;""6"";""008056-0"";""A3 1.6 3p Aut."";""1""",
"54;""6"";""008040-3"";""A3 1.6 5p"";""1""",
"55;""6"";""008057-8"";""A3 1.6 5p Aut."";""1""",
"56;""6"";""008005-5"";""A3 1.8 3p"";""1""",
"57;""6"";""008043-8"";""A3 1.8 3p Aut."";""1""",
"58;""6"";""008042-0"";""A3 1.8 5p Aut."";""1""",
"59;""6"";""008041-1"";""A3 1.8 5p Mec."";""1""",
"60;""6"";""008073-0"";""A3 1.8 Turbo 180cv 3p Aut./ Tip."";""1""",
"61;""6"";""008074-8"";""A3 1.8 Turbo 180cv 3p Mec."";""1""",
"62;""6"";""008071-3"";""A3 1.8 Turbo 180cv 5p Aut./ Tip."";""1""",
"63;""6"";""008072-1"";""A3 1.8 Turbo 180cv 5p Mec."";""1""",
"64;""6"";""008046-2"";""A3 1.8 Turbo 3p Aut."";""1""",
"65;""6"";""008006-3"";""A3 1.8 Turbo 3p Mec."";""1""",
"66;""6"";""008045-4"";""A3 1.8 Turbo 5p Aut."";""1""",
"67;""6"";""008044-6"";""A3 1.8 Turbo 5p Mec."";""1""",
"68;""6"";""008047-0"";""A4 1.8  Aut."";""1""",
"69;""6"";""008007-1"";""A4 1.8  Mec."";""1""",
"70;""6"";""008048-9"";""A4 1.8 Avant Aut."";""1""",
"71;""6"";""008009-8"";""A4 1.8 Avant Mec."";""1""",
"72;""6"";""008010-1"";""A4 1.8 Avant Turbo Mec."";""1""",
"73;""6"";""008049-7"";""A4 1.8 Avant Turbo Tip./ Multitronic"";""1""",
"74;""6"";""008008-0"";""A4 1.8 Tip./ Multitronic Turbo"";""1""",
"75;""6"";""008070-5"";""A4 1.8 Turbo"";""1""",
"76;""6"";""008101-9"";""A4 2.0 20V 130cv Multitronic 4p"";""1""",
"77;""6"";""008020-9"";""A4 2.4 30V Avant Mec."";""1""",
"78;""6"";""008021-7"";""A4 2.4 30V Avant Tip./Multitronic"";""1""",
"79;""6"";""008018-7"";""A4 2.4 30V Mec."";""1""",
"80;""6"";""008019-5"";""A4 2.4 30V Tip./Multitronic"";""1""",
"81;""6"";""008081-0"";""A4 2.4 Avant V6 30V Quattro Mec."";""1""",
"82;""6"";""008082-9"";""A4 2.4 Avant V6 30V Quattro Tiptronic"";""1""",
"83;""6"";""008083-7"";""A4 2.4 V6 30V Quattro Mec."";""1""",
"84;""6"";""008084-5"";""A4 2.4 V6 30V Quattro Tiptronic"";""1""",
"85;""6"";""008011-0"";""A4 2.8"";""1""",
"86;""6"";""008023-3"";""A4 2.8 30V  Tiptronic/ Aut."";""1""",
"87;""6"";""008022-5"";""A4 2.8 30V Mec."";""1""",
"88;""6"";""008036-5"";""A4 2.8 Avant V6 12V"";""1""",
"89;""6"";""008037-3"";""A4 2.8 Avant V6 30V Mec."";""1""",
"90;""6"";""008087-0"";""A4 2.8 Avant V6 30V Quattro Mec."";""1""",
"91;""6"";""008088-8"";""A4 2.8 Avant V6 30V Quattro Tiptronic"";""1""",
"92;""6"";""008055-1"";""A4 2.8 Avant V6 30V Tiptronic"";""1""",
"93;""6"";""008085-3"";""A4 2.8 V6 30V  Quattro Tiptronic"";""1""",
"94;""6"";""008086-1"";""A4 2.8 V6 30V Quattro Mec."";""1""",
"95;""6"";""008102-7"";""A4 3.0 30V 218cv Multitronic 4p"";""1""",
"96;""6"";""008109-4"";""A4 3.0 30V 218cv Quattro Tiptron./Aut 4p"";""1""",
"97;""6"";""008107-8"";""A4 3.0 Avant 30V 218cv Multitronic 5p"";""1""",
"98;""6"";""008110-8"";""A4 3.0 Avant 30V 218cv Quattro Tiptronic"";""1""",
"99;""6"";""008108-6"";""A4 3.0 Cabriolet 30V 218cv Multitronic"";""1""",
"100;""6"";""008024-1"";""A6 2.4 30V Mec"";""1""",
"101;""6"";""008025-0"";""A6 2.4 30V Tip./Multitronic"";""1""",
"102;""6"";""008051-9"";""A6 2.4 Avant 30V Mec."";""1""",
"103;""6"";""008052-7"";""A6 2.4 Avant 30V Tip./ Multitronic"";""1""",
"104;""6"";""008091-8"";""A6 2.4 Avant V6 30V Quattro Mec."";""1""",
"105;""6"";""008092-6"";""A6 2.4 Avant V6 30V Quattro Tiptronic"";""1""",
"106;""6"";""008089-6"";""A6 2.4 V6 30V Quattro Mec"";""1""",
"107;""6"";""008090-0"";""A6 2.4 V6 30V Quattro Tiptronic"";""1""",
"108;""6"";""008059-4"";""A6 2.7 30V Avant Tiptronic"";""1""",
"109;""6"";""008058-6"";""A6 2.7 30V Mec."";""1""",
"110;""6"";""008068-3"";""A6 2.7 Avant Quattro Tiptronic"";""1""",
"111;""6"";""008067-5"";""A6 2.7 Quattro Tiptronic"";""1""",
"112;""6"";""008012-8"";""A6 2.8"";""1""",
"113;""6"";""008026-8"";""A6 2.8 30V Mec."";""1""",
"114;""6"";""008027-6"";""A6 2.8 30V Tiptronic"";""1""",
"115;""6"";""008013-6"";""A6 2.8 Avant"";""1""",
"116;""6"";""008053-5"";""A6 2.8 Avant 30V Mec."";""1""",
"117;""6"";""008054-3"";""A6 2.8 Avant 30V Tiptronic"";""1""",
"118;""6"";""008095-0"";""A6 2.8 Avant V6 30V Quattro Mec."";""1""",
"119;""6"";""008096-9"";""A6 2.8 Avant V6 30V Quattro Tiptronic"";""1""",
"120;""6"";""008093-4"";""A6 2.8 V6 30V Quattro Mec."";""1""",
"121;""6"";""008094-2"";""A6 2.8 V6 30V Quattro Tiptronic"";""1""",
"122;""6"";""008105-1"";""A6 3.0 Avant V6 30V 218cv Multitronic 5p"";""1""",
"123;""6"";""008103-5"";""A6 3.0 V6 30V 218cv Multitronic 4p"";""1""",
"124;""6"";""008061-6"";""A6 4.2 Avant Quattro Tiptronic"";""1""",
"125;""6"";""008060-8"";""A6 4.2 Quattro Tiptronic"";""1""",
"126;""6"";""008062-4"";""A8 4.2 Quattro Tiptronic"";""1""",
"127;""6"";""008014-4"";""A8 4.2 V8 32V Tiptronic"";""1""",
"128;""6"";""008079-9"";""Allroad 2.7 30V Quattro Turbo Tiptronic"";""1""",
"129;""6"";""008015-2"";""Avant RS2"";""1""",
"130;""6"";""008100-0"";""RS4 2.7 Avant V6 30V BI-TB Quattro 380cv"";""1""",
"131;""6"";""008112-4"";""RS6 4.2 450cv BI-TB Quattro Tiptronic 4p"";""1""",
"132;""6"";""008111-6"";""RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p"";""1""",
"133;""6"";""008066-7"";""S3 1.8 225cv Turbo Quattro"";""1""",
"134;""6"";""008069-1"";""S4 2.7 Avant Turbo Quattro"";""1""",
"135;""6"";""008063-2"";""S4 2.7 Turbo Quattro Mec."";""1""",
"136;""6"";""008114-0"";""S4 4.2 Avant V8 40V 344cv Quattro Tipt."";""1""",
"137;""6"";""008113-2"";""S4 4.2 V8 40V 344cv Quattro Tiptronic"";""1""",
"138;""6"";""008038-1"";""S6 2.2 20V TB"";""1""",
"139;""6"";""008078-0"";""S6 2.2 Avant 20V TB"";""1""",
"140;""6"";""008097-7"";""S6 4.2 Avant V8 40V Quattro Tiptronic"";""1""",
"141;""6"";""008099-3"";""S6 4.2 V8 40V Quattro Mec"";""1""",
"142;""6"";""008098-5"";""S6 4.2 V8 40V Quattro Tiptronic"";""1""",
"143;""6"";""008016-0"";""S6 Plus 4.2 Avant V8 32V"";""1""",
"144;""6"";""008039-0"";""S6 Plus 4.2 V8 32V"";""1""",
"145;""6"";""008028-4"";""S8 4.2 Mec"";""1""",
"146;""6"";""008064-0"";""S8 4.2 Quattro Mec."";""1""",
"147;""6"";""008065-9"";""S8 4.2 Quattro Tiptronic"";""1""",
"148;""6"";""008029-2"";""S8 4.2 Tiptronic"";""1""",
"149;""6"";""008034-9"";""TT 1.8 TB 180cv"";""1""",
"150;""6"";""008035-7"";""TT 1.8 TB Quattro 225cv"";""1""",
"151;""6"";""008075-6"";""TT Roadster 1.8 TB Quattro 225cv (Conv.)"";""1""",
"152;""7"";""009106-5"";""120i 2.0 16V 150cv/ 156cv 5p"";""1""",
"153;""7"";""009105-7"";""120iA 2.0 16V 150cv/ 156cv 5p"";""1""",
"154;""7"";""009059-0"";""316 (todas)"";""1""",
"155;""7"";""009062-0"";""318i Cabrio 1.8 16V"";""1""",
"156;""7"";""009001-8"";""318i/iA 1.8 16V"";""1""",
"157;""7"";""009061-1"";""318i/iA Compact 1.8 16V"";""1""",
"158;""7"";""009002-6"";""318iS/ISA 1.9 16V"";""1""",
"159;""7"";""009003-4"";""318Ti Compact Mec"";""1""",
"160;""7"";""009060-3"";""318Ti/TiA Compact 1.9 16V"";""1""",
"161;""7"";""009038-7"";""320i"";""1""",
"162;""7"";""009039-5"";""320iA"";""1""",
"163;""7"";""009057-3"";""323Ci Coupê"";""1""",
"164;""7"";""009058-1"";""323CiA Coupê"";""1""",
"165;""7"";""009063-8"";""323i 2.5 24V"";""1""",
"166;""7"";""009040-9"";""323i Confort"";""1""",
"167;""7"";""009083-2"";""323i Sport"";""1""",
"168;""7"";""009030-1"";""323i Touring"";""1""",
"169;""7"";""009064-6"";""323iA 2.5 24V"";""1""",
"170;""7"";""009041-7"";""323iA Confort"";""1""",
"171;""7"";""009054-9"";""323iA Entry Sedan"";""1""",
"172;""7"";""009042-5"";""323i/iA Exclusive"";""1""",
"173;""7"";""009043-3"";""323iA Sport"";""1""",
"174;""7"";""009056-5"";""323iA Top Sedan"";""1""",
"175;""7"";""009044-1"";""323iA Touring"";""1""",
"176;""7"";""009031-0"";""323Ti Compact"";""1""",
"177;""7"";""009032-8"";""323Ti Compact Sport"";""1""",
"178;""7"";""009033-6"";""323TiA Compact Top"";""1""",
"179;""7"";""009004-2"";""325i"";""1""",
"180;""7"";""009005-0"";""325i/iA Cabrio"";""1""",
"181;""7"";""009036-0"";""325iA"";""1""",
"182;""7"";""009094-8"";""325iA 2.5 24V Protection"";""1""",
"183;""7"";""009091-3"";""325iA Coupé 2.5 24V 2p"";""1""",
"184;""7"";""009066-2"";""328i Exclusive 2.8 24V"";""1""",
"185;""7"";""009034-4"";""328i Touring/Sport"";""1""",
"186;""7"";""009006-9"";""328i/iA (modelo antigo)"";""1""",
"187;""7"";""009086-7"";""328i/iA (novo modelo)"";""1""",
"188;""7"";""009022-0"";""328i/iA Cabrio"";""1""",
"189;""7"";""009067-0"";""328iA Exclusive 2.8 24V"";""1""",
"190;""7"";""009065-4"";""328iA Touring/Sport"";""1""",
"191;""7"";""009093-0"";""330Ci Cabriolet"";""1""",
"192;""7"";""009087-5"";""330CiA Cabriolet"";""1""",
"193;""7"";""009092-1"";""330i MotorSport 3.0 24V 4p"";""1""",
"194;""7"";""009088-3"";""330iA MotorSport 4p"";""1""",
"195;""7"";""009089-1"";""330iA Top 4p"";""1""",
"196;""7"";""009047-6"";""520i 2.0 16V"";""1""",
"197;""7"";""009007-7"";""525i/iA"";""1""",
"198;""7"";""009068-9"";""525i/iA Touring"";""1""",
"199;""7"";""009008-5"";""528i/iA"";""1""",
"200;""7"";""009023-9"";""528iA High"";""1""",
"201;""7"";""009024-7"";""528iA Touring"";""1""",
"202;""7"";""009009-3"";""530i/iA"";""1""",
"203;""7"";""009069-7"";""530i/iA Touring"";""1""",
"204;""7"";""009037-9"";""535i/iA 3.5 24V"";""1""",
"205;""7"";""009010-7"";""540i"";""1""",
"206;""7"";""009017-4"";""540i/iA Touring"";""1""",
"207;""7"";""009025-5"";""540iA"";""1""",
"208;""7"";""009084-0"";""540iA MotorSport"";""1""",
"209;""7"";""009026-3"";""540iA Protection"";""1""",
"210;""7"";""009052-2"";""540iTA"";""1""",
"211;""7"";""009102-2"";""545iA 4.4 32V V8 333cv"";""1""",
"212;""7"";""009103-0"";""645iA 4.4 V8 32V 333cv"";""1""",
"213;""7"";""009048-4"";""730i 3.0 32V"";""1""",
"214;""7"";""009049-2"";""730iA 3.0 32V"";""1""",
"215;""7"";""009070-0"";""735i/iA 3.5 32V"";""1""",
"216;""7"";""009011-5"";""740i"";""1""",
"217;""7"";""009027-1"";""740iA"";""1""",
"218;""7"";""009072-7"";""740iL/iLA Highline 4.4 32V"";""1""",
"219;""7"";""009053-0"";""740iLA Protection"";""1""",
"220;""7"";""009096-4"";""745iA 4.4 V8 32V 333cv"";""1""",
"221;""7"";""009012-3"";""750i"";""1""",
"222;""7"";""009028-0"";""750iA"";""1""",
"223;""7"";""009071-9"";""750iL Highline 5.4 24V"";""1""",
"224;""7"";""009099-9"";""760iL 6.0 V12 445cv/544cv"";""1""",
"225;""7"";""009050-6"";""840Ci"";""1""",
"226;""7"";""009051-4"";""840CiA"";""1""",
"227;""7"";""009077-8"";""850Ci/CiA 5.0 24V"";""1""",
"228;""7"";""009078-6"";""850Ci/CiA 5.4 24V"";""1""",
"229;""7"";""009076-0"";""850CSi 5.6 24V"";""1""",
"230;""7"";""009013-1"";""850i 5.0 24V"";""1""",
"231;""7"";""009079-4"";""M Roadster"";""1""",
"232;""7"";""009073-5"";""M3 3.2 24V"";""1""",
"233;""7"";""009074-3"";""M3 Cabrio 3.0 24V"";""1""",
"234;""7"";""009014-0"";""M3 Coupê 3.0 24V 255cv"";""1""",
"235;""7"";""009029-8"";""M3 Coupê 3.0 V6 24V 282cv"";""1""",
"236;""7"";""009015-8"";""M5 3.8/Touring 3.8 24V"";""1""",
"237;""7"";""009075-1"";""M5 5.0 32V/ 40V"";""1""",
"238;""7"";""009108-1"";""M6 5.0 V10 40V 507cv"";""1""",
"239;""7"";""009104-9"";""X3 Family 2.5 24V 192cv/ 218cv"";""1""",
"240;""7"";""009101-4"";""X3 Family 3.0 24V 231cv"";""1""",
"241;""7"";""009100-6"";""X3 Sport 3.0 24V 231cv"";""1""",
"242;""7"";""009081-6"";""X5 3.0 4x4"";""1""",
"243;""7"";""009082-4"";""X5 4.4 4x4"";""1""",
"244;""7"";""009107-3"";""X5 4.8 4x4 V8 32V 360cv"";""1""",
"245;""7"";""009095-6"";""X5 Sport 4.4 4x4 V8 32V"";""1""",
"246;""7"";""009020-4"";""Z3 2.8 Aut."";""1""",
"247;""7"";""009019-0"";""Z3 2.8 Mec."";""1""",
"248;""7"";""009085-9"";""Z3 3.0 24V Roadster 2p"";""1""",
"249;""7"";""009016-6"";""Z3 Roadster 1.9 Mec."";""1""",
"250;""7"";""009018-2"";""Z3 Roadster M 3.2"";""1""",
"251;""7"";""009097-2"";""Z4 Roadster 3.0 V6 24V Aut."";""1""",
"252;""7"";""009098-0"";""Z4 Roadster Sport 3.0 24V 231cv Aut."";""1""",
"253;""7"";""009090-5"";""Z8 5.0 V8"";""1""",
"254;""8"";""039001-1"";""Buggy/M-8/M-8 Long 1.6"";""1""",
"255;""8"";""039002-0"";""Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V"";""1""",
"258;""10"";""041001-2"";""Deville/Eldorado 4.9"";""1""",
"259;""10"";""041002-0"";""Seville 4.6"";""1""",
"260;""11"";""042001-8"";""Javali 3.0 4x4 Diesel"";""1""",
"261;""12"";""010014-5"";""300 M 3.5"";""1""",
"262;""12"";""010008-0"";""Caravan LE  3.3"";""1""",
"263;""12"";""010009-9"";""Caravan LX 3.8"";""1""",
"264;""12"";""010001-3"";""Caravan SE 2.4/3.3"";""1""",
"265;""12"";""010015-3"";""Cirrus LXi 2.5 V6 24V"";""1""",
"266;""12"";""010016-1"";""Grand Caravan SE 3.3 V6"";""1""",
"267;""12"";""010007-2"";""Grand Caravan LE 3.3 Aut"";""1""",
"268;""12"";""010021-8"";""Grand Caravan Limited 3.3 V6 12V 182cv"";""1""",
"269;""12"";""010010-2"";""Grand Caravan LX 3.8"";""1""",
"270;""12"";""010017-0"";""LE Baron 3.0 V6"";""1""",
"271;""12"";""010018-8"";""LE Baron 3.0 V6 Conv."";""1""",
"272;""12"";""010011-0"";""Neon LE 1.8"";""1""",
"273;""12"";""010002-1"";""Neon LE/Highline 2.0"";""1""",
"274;""12"";""010012-9"";""Neon Sport 1.8/2.0"";""1""",
"275;""12"";""010019-6"";""PT Cruiser Limited 2.0 16V 4p"";""1""",
"276;""12"";""010022-6"";""PT Cruiser Limited 2.4 16V 143cv 4p"";""1""",
"277;""12"";""010020-0"";""Sebring LX 2.7 V6 24V 204cv"";""1""",
"278;""12"";""010003-0"";""Stratus LE 2.0"";""1""",
"279;""12"";""010004-8"";""Stratus LX 2.0 Mec"";""1""",
"280;""12"";""010005-6"";""Stratus LX 2.5 Aut"";""1""",
"281;""12"";""010006-4"";""Stratus LX 2.5 Conversível Aut"";""1""",
"282;""12"";""010013-7"";""Vision 3.5 24V"";""1""",
"283;""13"";""011001-9"";""AX GTi"";""1""",
"284;""13"";""011026-4"";""Berlingo MultSpace GLX 1.8i 3p"";""1""",
"285;""13"";""011078-7"";""Berlingo MultSpace GLX 1.6 16V 110cv 4p"";""1""",
"286;""13"";""011033-7"";""Berlingo MultSpace GLX 1.8i 4p"";""1""",
"287;""13"";""011002-7"";""BX 1.6S 16V"";""1""",
"288;""13"";""011039-6"";""BX GTi 1.9"";""1""",
"289;""13"";""011071-0"";""C3 Exclus./Excl.Solaris 1.6 Flex 16V Mec"";""1""",
"290;""13"";""011072-8"";""C3 GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p"";""1""",
"291;""13"";""011070-1"";""C3 GLX 1.6/ 1.6 Flex 16V 5p"";""1""",
"292;""13"";""011076-0"";""C3 Ocimar Versolato 1.6 16V 110cv 5p"";""1""",
"293;""13"";""011067-1"";""C5 3.0 24V 210cv 4p Aut."";""1""",
"294;""13"";""011065-5"";""C5 Exclusive 2.0 16V 138cv 4p Mec."";""1""",
"295;""13"";""011066-3"";""C5 Exclusive 2.0 16V 4p Aut."";""1""",
"296;""13"";""011068-0"";""C5 Exclusive Break 2.0 16V 138cv 5p Mec."";""1""",
"297;""13"";""011069-8"";""C5 Exclusive Break 2.0 16V Aut."";""1""",
"298;""13"";""011073-6"";""C8 Exclusive 2.0 16V 138cv 5p Aut."";""1""",
"299;""13"";""011027-2"";""Evasion  GLX 2.0 16V"";""1""",
"300;""13"";""011003-5"";""Evasion VSX Turbo"";""1""",
"301;""13"";""011028-0"";""Jumper 2.5 Diesel"";""1""",
"302;""13"";""011050-7"";""Jumper 2.8 16Lug.  Diesel"";""1""",
"303;""13"";""011052-3"";""Jumper 2.8 Furgão 35C Diesel"";""1""",
"304;""13"";""011051-5"";""Jumper 2.8 Furgão 35MH Diesel"";""1""",
"305;""13"";""011043-4"";""Xantia 2.0  16V"";""1""",
"306;""13"";""011044-2"";""Xantia Activa 2.0"";""1""",
"307;""13"";""011045-0"";""Xantia Activa 2.0 TB"";""1""",
"308;""13"";""011014-0"";""Xantia Activa 3.0 V6 Mec"";""1""",
"309;""13"";""011015-9"";""Xantia Break 2.0 8V/GLX 2.0 16V Aut"";""1""",
"310;""13"";""011049-3"";""Xantia Break GLX 2.0 16V Mec."";""1""",
"311;""13"";""011042-6"";""Xantia Exclusive 2.0 16V"";""1""",
"312;""13"";""011034-5"";""Xantia Exclusive 3.0 V6"";""1""",
"313;""13"";""011047-7"";""Xantia GLX 2.0 16V Aut."";""1""",
"314;""13"";""011029-9"";""Xantia GLX 2.0 16V Mec."";""1""",
"315;""13"";""011016-7"";""Xantia SX 1.8"";""1""",
"316;""13"";""011004-3"";""Xantia SX 2.0 8V/16V Mec./Aut."";""1""",
"317;""13"";""011005-1"";""Xantia VSX 2.0"";""1""",
"318;""13"";""011048-5"";""Xantia VSX 2.0 16V"";""1""",
"319;""13"";""011007-8"";""XM Exclusive 12v"";""1""",
"320;""13"";""011040-0"";""XM Exclusive 24V"";""1""",
"321;""13"";""011006-0"";""XM Exclusive Break"";""1""",
"322;""13"";""011041-8"";""XM Sensation 2.0 TB"";""1""",
"323;""13"";""011061-2"";""Xsara Break Exclusive 1.6 16V 5p Aut."";""1""",
"324;""13"";""011060-4"";""Xsara Break Exclusive 1.6 16V 5p Mec."";""1""",
"325;""13"";""011021-3"";""Xsara Break Exclusive 1.8 16V"";""1""",
"326;""13"";""011036-1"";""Xsara Break Exclusive 2.0 16V"";""1""",
"327;""13"";""011062-0"";""Xsara Break GLX 1.6 16V 5p Aut."";""1""",
"328;""13"";""011059-0"";""Xsara Break GLX 1.6 16V 5p Mec."";""1""",
"329;""13"";""011020-5"";""Xsara Break GLX 1.8 16V"";""1""",
"330;""13"";""011035-3"";""Xsara Break GLX/ Paris 2.0 16V"";""1""",
"331;""13"";""011057-4"";""Xsara Exclusive 1.6 16V 5p Aut."";""1""",
"332;""13"";""011056-6"";""Xsara Exclusive 1.6 16V 5p Mec."";""1""",
"333;""13"";""011019-1"";""Xsara Exclusive 1.8 8V/16V 5p Aut."";""1""",
"334;""13"";""011018-3"";""Xsara Exclusive 1.8 8V/16V 5p Mec."";""1""",
"335;""13"";""011037-0"";""Xsara Exclusive 2.0 16V"";""1""",
"336;""13"";""011053-1"";""Xsara GLX 1.6 16V 3p"";""1""",
"337;""13"";""011055-8"";""Xsara GLX 1.6 16V 5p Aut."";""1""",
"338;""13"";""011054-0"";""Xsara GLX 1.6 16V 5p Mec."";""1""",
"339;""13"";""011024-8"";""Xsara GLX 1.8 16V 5p Mec."";""1""",
"340;""13"";""011022-1"";""Xsara GLX 1.8 16V Cupê Mec."";""1""",
"341;""13"";""011025-6"";""Xsara GLX 1.8 8V 5p Aut."";""1""",
"342;""13"";""011023-0"";""Xsara GLX 1.8 8V Cupê Aut."";""1""",
"343;""13"";""011046-9"";""Xsara GLX/ Paris 2.0 16V"";""1""",
"344;""13"";""011063-9"";""Xsara Picasso Exc./Etoile 2.0 16V Mec."";""1""",
"345;""13"";""011074-4"";""Xsara Picasso Exclusive 2.0 16V Aut."";""1""",
"346;""13"";""011064-7"";""Xsara Picasso GLX/Brasil/Etoile 2.0 Mec."";""1""",
"347;""13"";""011077-9"";""Xsara Picasso GLX 1.6/ 1.6 Flex 16V"";""1""",
"348;""13"";""011075-2"";""Xsara Picasso GLX 2.0 16V  Aut."";""1""",
"349;""13"";""011058-2"";""Xsara VTS 1.6 16V 3p"";""1""",
"350;""13"";""011038-8"";""Xsara VTS 1.8 16V"";""1""",
"351;""13"";""011017-5"";""Xsara VTS 2.0  16V Cupê Mec."";""1""",
"352;""13"";""011008-6"";""ZX Cupê 16V"";""1""",
"353;""13"";""011032-9"";""ZX Dakar 2.0 16V"";""1""",
"354;""13"";""011009-4"";""ZX Furio"";""1""",
"355;""13"";""011031-0"";""ZX Paris 1.8"";""1""",
"356;""13"";""011010-8"";""ZX Volcane 3p e 5p"";""1""",
"357;""14"";""059001-0"";""CL-244 2.8 132cv 4x4 TB Int. Diesel"";""1""",
"358;""15"";""030017-9"";""Espero 2.0"";""1""",
"359;""15"";""030001-2"";""Espero CD / DLX 2.0"";""1""",
"360;""15"";""030010-1"";""Lanos Hatch SX 1.6 16V"";""1""",
"361;""15"";""030005-5"";""Lanos SX 1.6 16V"";""1""",
"362;""15"";""030009-8"";""Lanos SX 1.6 16V Aut."";""1""",
"363;""15"";""030012-8"";""Leganza CDX 2.0 16V Aut."";""1""",
"364;""15"";""030006-3"";""Leganza CDX 2.0 16V Mec."";""1""",
"365;""15"";""030013-6"";""Nubira CDX 2.0 16V Aut."";""1""",
"366;""15"";""030007-1"";""Nubira CDX 2.0 16V Mec."";""1""",
"367;""15"";""030014-4"";""Nubira SW CDX 2.0 16V Aut."";""1""",
"368;""15"";""030008-0"";""Nubira SW CDX 2.0 16V Mec."";""1""",
"369;""15"";""030002-0"";""Prince Ace 2.0"";""1""",
"370;""15"";""030011-0"";""Racer GTi 1.5 16V"";""1""",
"371;""15"";""030004-7"";""Super Salon Ace"";""1""",
"372;""15"";""030003-9"";""Tico"";""1""",
"373;""16"";""012012-0"";""Applause 1.6 16V"";""1""",
"374;""16"";""012011-1"";""Applause DLX 1.6 16V"";""1""",
"375;""16"";""012015-4"";""Charade CX/TS 1.0"";""1""",
"376;""16"";""012001-4"";""Charade Sedan 1.5/DLX 1.3"";""1""",
"377;""16"";""012006-5"";""Charade Sedan 1.3i 16V"";""1""",
